Input Number, Run_Number, Result@ 100, F1P, A1, F1, A2, F2, F2P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-20, Run: 085, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 086, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 087, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 088, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 089, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 090, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 091, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 092, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 093, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 094, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 095, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 096, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 097, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 098, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 099, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-20, Run: 100, P, 0, 0, 5, 83, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 001, P, 0, 0, 5, 160, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-21, Run: 002, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 003, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 004, P, 0, 0, 5, 160, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-21, Run: 005, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 006, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 007, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 008, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 009, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 010, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 011, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 012, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 013, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 014, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 015, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 016, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 017, P, 0, 0, 5, 160, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-21, Run: 018, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 019, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 020, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 021, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 022, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 023, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 024, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 025, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 026, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 027, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 028, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 029, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 030, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 031, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 032, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 033, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 034, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 035, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 036, P, 0, 0, 5, 160, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-21, Run: 037, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 038, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 039, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 040, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 041, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 042, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 043, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 044, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 045, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 046, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 047, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 048, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 049, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 050, P, 0, 0, 5, 160, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-21, Run: 051, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 052, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 053, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 054, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 055, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 056, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 057, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 058, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 059, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 060, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 061, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 062, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 063, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 064, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 065, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 066, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 067, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 068, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 069, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 070, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 071, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 072, P, 0, 0, 5, 160, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-21, Run: 073, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 074, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 075, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 076, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 077, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 078, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 079, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 080, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 081, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 082, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 083, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 084, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 085, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 086, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 087, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 088, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 089, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 090, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 091, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 092, P, 0, 0, 5, 160, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-21, Run: 093, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 094, P, 0, 0, 5, 160, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-21, Run: 095, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 096, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 097, P, 0, 0, 5, 160, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-21, Run: 098, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-21, Run: 099, P, 0, 0, 5, 160, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-21, Run: 100, P, 0, 0, 5, 159, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 001, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 002, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 003, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 004, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 005, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 006, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 007, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 008, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 009, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 010, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 011, P, 0, 0, 5, 7, 0, 5, 0, 0, 0, 0, 2, 3, 0
INVAR-22, Run: 012, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 013, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 014, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 015, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 016, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 017, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 018, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 019, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 020, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 021, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 022, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 023, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 024, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 025, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 026, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 027, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 028, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 029, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 030, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 031, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 032, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 033, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 034, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 035, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 036, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 037, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 038, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 039, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 040, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 041, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 042, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 043, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 044, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 045, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 046, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 047, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 048, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 049, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 050, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 051, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 052, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 053, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 054, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 055, P, 0, 0, 5, 7, 0, 5, 0, 0, 0, 0, 2, 3, 0
INVAR-22, Run: 056, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 057, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 058, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 059, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 060, P, 0, 0, 5, 7, 0, 5, 0, 0, 0, 0, 2, 3, 0
INVAR-22, Run: 061, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 062, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 063, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 064, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 065, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 066, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 067, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 068, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 069, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 070, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 071, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 072, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 073, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 074, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 075, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 076, P, 0, 0, 5, 7, 0, 5, 0, 0, 0, 0, 2, 3, 0
INVAR-22, Run: 077, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 078, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 079, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 080, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 081, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 082, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 083, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 084, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 085, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 086, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 087, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 088, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 089, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 090, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 091, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 092, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 093, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 094, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 095, P, 0, 0, 5, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-22, Run: 096, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 097, P, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-22, Run: 098, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 099, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-22, Run: 100, P, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-23, Run: 001, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 002, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 003, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 004, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 005, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 006, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 007, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 008, P, 0, 0, 5, 69, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-23, Run: 009, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 010, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 011, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 012, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 013, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 014, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 015, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 016, P, 0, 0, 5, 69, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-23, Run: 017, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 018, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 019, P, 0, 0, 5, 69, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-23, Run: 020, P, 0, 0, 5, 70, 0, 5, 0, 0, 0, 0, 3, 2, 0
INVAR-23, Run: 021, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 022, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 023, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 024, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 025, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 026, P, 0, 0, 5, 69, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-23, Run: 027, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 028, P, 0, 0, 5, 69, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-23, Run: 029, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 030, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 031, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 032, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 033, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 034, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 035, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 036, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 037, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 038, P, 0, 0, 5, 69, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-23, Run: 039, P, 0, 0, 5, 69, 0, 5, 0, 0, 0, 0, 4, 1, 0
INVAR-23, Run: 040, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
INVAR-23, Run: 041, P, 0, 0, 5, 68, 0, 5, 0, 0, 0, 0, 5, 0, 0
