Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y
12, Run: 010, P, 0, 217, 0, 157, 0, 0, 5
12, Run: 011, P, 0, 208, 0, 157, 0, 0, 5
12, Run: 012, P, 0, 211, 0, 157, 0, 0, 5
12, Run: 013, P, 0, 220, 0, 157, 0, 0, 5
12, Run: 014, P, 0, 210, 0, 157, 0, 0, 5
12, Run: 015, P, 0, 215, 0, 157, 0, 0, 5
12, Run: 016, P, 0, 207, 0, 157, 0, 0, 5
12, Run: 017, P, 0, 207, 0, 157, 0, 0, 5
12, Run: 018, P, 0, 216, 0, 157, 0, 0, 5
12, Run: 019, P, 0, 203, 0, 157, 0, 0, 5
12, Run: 020, P, 0, 213, 0, 157, 0, 0, 5
12, Run: 021, P, 0, 206, 0, 157, 0, 0, 5
12, Run: 022, P, 0, 205, 0, 157, 0, 0, 5
12, Run: 023, P, 0, 214, 0, 157, 0, 0, 5
12, Run: 024, P, 0, 204, 0, 158, 0, 0, 5
12, Run: 025, P, 0, 205, 0, 157, 0, 0, 5
12, Run: 026, P, 0, 210, 0, 157, 0, 0, 5
12, Run: 027, P, 0, 215, 0, 157, 0, 0, 5
12, Run: 028, P, 0, 215, 0, 157, 0, 0, 5
12, Run: 029, P, 0, 221, 0, 157, 0, 0, 5
12, Run: 030, P, 0, 203, 0, 157, 0, 0, 5
12, Run: 031, P, 0, 210, 0, 157, 0, 0, 5
12, Run: 032, P, 0, 210, 0, 157, 0, 0, 5
12, Run: 033, P, 0, 211, 0, 158, 0, 0, 5
12, Run: 034, P, 0, 215, 0, 157, 0, 0, 5
12, Run: 035, P, 0, 211, 0, 157, 0, 0, 5
12, Run: 036, P, 0, 208, 0, 158, 0, 0, 5
12, Run: 037, P, 0, 209, 0, 157, 0, 0, 5
12, Run: 038, P, 0, 209, 0, 157, 0, 0, 5
12, Run: 039, P, 0, 206, 0, 157, 0, 0, 5
12, Run: 040, P, 0, 218, 0, 157, 0, 0, 5
12, Run: 041, P, 0, 208, 0, 158, 0, 0, 5
12, Run: 042, P, 0, 202, 0, 157, 0, 0, 5
12, Run: 043, P, 0, 210, 0, 157, 0, 0, 5
12, Run: 044, P, 0, 201, 0, 157, 0, 0, 5
12, Run: 045, P, 0, 217, 0, 158, 0, 0, 5
12, Run: 046, P, 0, 221, 0, 157, 0, 0, 5
12, Run: 047, P, 0, 214, 0, 157, 0, 0, 5
12, Run: 048, P, 0, 213, 0, 157, 0, 0, 5
12, Run: 049, P, 0, 219, 0, 157, 0, 0, 5
12, Run: 050, P, 0, 214, 0, 158, 0, 0, 5
12, Run: 051, P, 0, 211, 0, 158, 0, 0, 5
12, Run: 052, P, 0, 213, 0, 158, 0, 0, 5
12, Run: 053, P, 0, 209, 0, 157, 0, 0, 5
12, Run: 054, P, 0, 208, 0, 157, 0, 0, 5
12, Run: 055, P, 0, 223, 0, 157, 0, 0, 5
12, Run: 056, P, 0, 203, 0, 157, 0, 0, 5
12, Run: 057, P, 0, 220, 0, 157, 0, 0, 5
12, Run: 058, P, 0, 211, 0, 157, 0, 0, 5
12, Run: 059, P, 0, 213, 0, 157, 0, 0, 5
12, Run: 060, P, 0, 206, 0, 157, 0, 0, 5
12, Run: 061, P, 0, 196, 0, 157, 0, 0, 5
12, Run: 062, P, 0, 215, 0, 157, 0, 0, 5
12, Run: 063, P, 0, 204, 0, 157, 0, 0, 5
12, Run: 064, P, 0, 206, 0, 157, 0, 0, 5
12, Run: 065, P, 0, 208, 0, 157, 0, 0, 5
12, Run: 066, P, 0, 216, 0, 157, 0, 0, 5
12, Run: 067, P, 0, 203, 0, 157, 0, 0, 5
12, Run: 068, P, 0, 217, 0, 157, 0, 0, 5
12, Run: 069, P, 0, 210, 0, 157, 0, 0, 5
12, Run: 070, P, 0, 208, 0, 157, 0, 0, 5
12, Run: 071, P, 0, 208, 0, 157, 0, 0, 5
12, Run: 072, P, 0, 211, 0, 157, 0, 0, 5
12, Run: 073, P, 0, 221, 0, 157, 0, 0, 5
12, Run: 074, P, 0, 207, 0, 158, 0, 0, 5
12, Run: 075, P, 0, 208, 0, 157, 0, 0, 5
12, Run: 076, P, 0, 207, 0, 157, 0, 0, 5
12, Run: 077, P, 0, 205, 0, 157, 0, 0, 5
12, Run: 078, P, 0, 208, 0, 157, 0, 0, 5
12, Run: 079, P, 0, 207, 0, 157, 0, 0, 5
12, Run: 080, P, 0, 222, 0, 157, 0, 0, 5
12, Run: 081, P, 0, 214, 0, 157, 0, 0, 5
12, Run: 082, P, 0, 214, 0, 157, 0, 0, 5
12, Run: 083, P, 0, 206, 0, 157, 0, 0, 5
12, Run: 084, P, 0, 214, 0, 157, 0, 0, 5
12, Run: 085, P, 0, 218, 0, 157, 0, 0, 5
12, Run: 086, P, 0, 209, 0, 157, 0, 0, 5
12, Run: 087, P, 0, 217, 0, 157, 0, 0, 5
12, Run: 088, P, 0, 214, 0, 157, 0, 0, 5
12, Run: 089, P, 0, 211, 0, 157, 0, 0, 5
12, Run: 090, P, 0, 215, 0, 157, 0, 0, 5
12, Run: 091, P, 0, 213, 0, 157, 0, 0, 5
12, Run: 092, P, 0, 210, 0, 157, 0, 0, 5
12, Run: 093, P, 0, 210, 0, 157, 0, 0, 5
12, Run: 094, P, 0, 218, 0, 157, 0, 0, 5
12, Run: 095, P, 0, 213, 0, 157, 0, 0, 5
12, Run: 096, P, 0, 209, 0, 157, 0, 0, 5
12, Run: 097, P, 0, 208, 0, 157, 0, 0, 5
12, Run: 098, P, 0, 208, 0, 158, 0, 0, 5
12, Run: 099, P, 0, 211, 0, 157, 0, 0, 5
12, Run: 100, P, 0, 214, 0, 157, 0, 0, 5
13, Run: 001, P, 0, 14, 0, 11, 0, 0, 5
13, Run: 002, P, 0, 13, 0, 10, 0, 0, 5
13, Run: 003, P, 0, 15, 0, 11, 0, 0, 5
13, Run: 004, P, 0, 14, 0, 10, 0, 0, 5
13, Run: 005, P, 0, 13, 0, 10, 0, 0, 5
13, Run: 006, P, 0, 12, 0, 11, 0, 0, 5
13, Run: 007, P, 0, 18, 0, 11, 0, 0, 5
13, Run: 008, P, 0, 13, 0, 10, 0, 0, 5
13, Run: 009, P, 0, 14, 0, 11, 0, 0, 5
13, Run: 010, P, 0, 12, 0, 10, 0, 0, 5
13, Run: 011, P, 0, 11, 0, 10, 0, 0, 5
13, Run: 012, P, 0, 16, 0, 10, 0, 0, 5
13, Run: 013, P, 0, 14, 0, 10, 0, 0, 5
13, Run: 014, P, 0, 14, 0, 11, 0, 0, 5
13, Run: 015, P, 0, 12, 0, 12, 0, 0, 5
13, Run: 016, P, 0, 16, 0, 10, 0, 0, 5
13, Run: 017, P, 0, 14, 0, 10, 0, 0, 5
13, Run: 018, P, 0, 14, 0, 11, 0, 0, 5
13, Run: 019, P, 0, 16, 0, 11, 0, 0, 5
13, Run: 020, P, 0, 11, 0, 11, 0, 0, 5
13, Run: 021, P, 0, 15, 0, 10, 0, 0, 5
13, Run: 022, P, 0, 15, 0, 11, 0, 0, 5
13, Run: 023, P, 0, 16, 0, 12, 0, 0, 5
13, Run: 024, P, 0, 14, 0, 10, 0, 0, 5
13, Run: 025, P, 0, 12, 0, 10, 0, 0, 5
13, Run: 026, P, 0, 17, 0, 11, 0, 0, 5
13, Run: 027, P, 0, 12, 0, 10, 0, 0, 5
13, Run: 028, P, 0, 14, 0, 10, 0, 0, 5
13, Run: 029, P, 0, 16, 0, 10, 0, 0, 5
13, Run: 030, P, 0, 14, 0, 11, 0, 0, 5
13, Run: 031, P, 0, 14, 0, 10, 0, 0, 5
13, Run: 032, P, 0, 14, 0, 12, 0, 0, 5
13, Run: 033, P, 0, 11, 0, 10, 0, 0, 5
13, Run: 034, P, 0, 14, 0, 11, 0, 0, 5
13, Run: 035, P, 0, 15, 0, 11, 0, 0, 5
13, Run: 036, P, 0, 13, 0, 10, 0, 0, 5
13, Run: 037, P, 0, 14, 0, 10, 0, 0, 5
13, Run: 038, P, 0, 16, 0, 12, 0, 0, 5
13, Run: 039, P, 0, 12, 0, 11, 0, 0, 5
13, Run: 040, P, 0, 12, 0, 11, 0, 0, 5
13, Run: 041, P, 0, 17, 0, 11, 0, 0, 5
13, Run: 042, P, 0, 14, 0, 11, 0, 0, 5
13, Run: 043, P, 0, 11, 0, 10, 0, 0, 5
13, Run: 044, P, 0, 13, 0, 10, 0, 0, 5
13, Run: 045, P, 0, 16, 0, 11, 0, 0, 5
13, Run: 046, P, 0, 16, 0, 10, 0, 0, 5
13, Run: 047, P, 0, 14, 0, 12, 0, 0, 5
13, Run: 048, P, 0, 12, 0, 13, 0, 0, 5
